Qué es la concurrencia?,"Es la capacidad de ejecutar múltiples actividades en paralelo o simultáneamente. Esta es un concepto de software no restringido a una arquitectura de HW particular ni a un número determinado de procesadores. Especificar la concurrencia implica especificar los procesos concurrentes, su comunicación y su sincronización."
Qué es un programa concurrente?,Un programa concurrente especifica dos o más programas secuenciales. Un programa concurrente puede tener N procesos y el sist concurrente donde se ejecuta M procesadores cada uno de los cuales puede ejecutar uno o más procesos.
Cómo se comunican los procesos?,Por memoria compartida o por pasaje de mensajes.
Memoria compartida,"Los procesos intercambian información sobre la memoria compartida o actúan coordinadamente sobre datos residentes en ella. Lógiamente no pueden operar simultáneamente, lo que obliga a bloquear y liberar el acceso a la memoria. "
Pasaje de mensajes,"Es encesario establecer un canal lógico o físico para transmitir información entre procesos. Para que la comunicación sea efectiva los procesos deben ""saber"" cuando tienen mensajes para ller y cuando deben transmitir mensajes. "
Qué es la sincronización? Qué formas existen?,"Es la posesión de información acerca de otro proceso para coordinar actividades. Se sincronizan por exclusión mutua y/o por condición. "
Sincronización por exclusión mutua,"Asegurar que sólo un proceso tenga acceso a un recurso compartido en un instante de tiempo. Si el programa tiene secciones críticas que pueden compartir más de un proceso, la exclusión mutua evita que dos o más procesos puedan encontrarse en la misma sección crítica al mismo tiempo."
Sincronización por condición,Permite bloquear la ejecución de un proceso hasta que se cumpla una condición dada.
Fairness,"Es una propiedad deseable en los sistemas concurrente que garantiza el equilibro de acceso a recursos compartidos por todos los procesos. "
"Inanición y overloading. ","Inanición: Un proceso no logra acceder a los recursos compartidos porque otros con mayor prioridad lo están haciendo constantemente. Overloading: La carga asignada a un proceso excede su capacidad de procesamiento. "
Problema del deadlock,Dos o más procesos pueden entrar en deadlock si por error de programación ambos se quedan esperando que el otro libere un recurso compartido. La ausencia de deadlock es una propiedad necesaria en los procesos concurrentes.
4 propiedades necesarias y suficientes para que exista deadlock,"Recursos reusables serialmente: Los procesos compartesn recursos que pueden usar con exclusión mutua.
Adquisición incremental: Los procesos mantienen los recursos que poseen mientras esperan adquirir recursos adicionales.
No-preemption: Una vez que son adquiridos por un proceso, los recursos no pueden quitarse de manera forzada, sino que son liberados voluntariamente.
Espera cíclica: Existe una cadena circular de procesos tal que cada uno tiene un recurso que su sucesor en el ciclo está esperando adquirir. "
No determinismo y sus consecuencias,"Dos ejecuciones del mismo programa no necesariamente son idénticas. Esto trae dificultad para la interpretación y el debug. "
Paralelismo,"Se asocia con la ejecución concurrente en múltiples procesadores con el objetivo principal de reducir el tiempo de ejecuión. "
Concurrencia a nivel de HW,"Las máquinas monoprocesador ya no pueden mejorar. Se agregan más procesadores por chip para mayor potencia de cómputo. "
